	Firmicutes	Actinobacteria	Proteobacteria	Bacteroidetes	Other
HC01_1	35.924	8.88	35.737	18.132	1.327
HC01_2	67.104	17.3	8.259	5.419	1.918
HC01_3	27.633	18.094	25.092	24.629	4.552
HC01_4	26.917	31.629	35.516	4.749	1.19
HC02_1	15.007	8.299	53.458	22.752	0.484
HC02_2	33.315	9.877	41.338	14.825	0.645
HC03_1	44.31	23.908	21.495	7.007	3.281
HC03_2	51.636	25.517	17.929	2.38	2.538
HC03_3	35.791	18.356	28.571	6.819	10.463
HC04_1	43.681	23.62	22.834	7.249	2.616
HC04_2	38.258	29.241	15.927	15.253	1.322
HC04_3	28.52	32.366	24.601	11.248	3.266
HC05_1	12.509	77.806	7.006	0.234	2.445
HC05_4	10.632	79.323	6.781	1.212	2.053
HC06_1	87.518	4.458	4.314	1.407	2.303
HC06_2	69.197	13.8	12.553	2.906	1.544
HC07_1	64.58	5.121	16.358	12.945	0.996
HC07_2	55.405	18.803	20.085	5.33	0.377
HC08_1	26.963	12.593	38.815	13.037	8.593
HC09_1	47.454	22.518	22.38	6.472	1.176
HC10_1	57.961	15.848	16.507	7.788	1.895
HC11_1	55.437	19.347	14.73	8.701	1.785
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
