	Firmicutes	Actinobacteria	Proteobacteria	Bacteroidetes	Other
HC01_1	0.35924	0.0888	0.35737	0.18132	0.01327
HC01_2	0.67104	0.173	0.08259	0.05419	0.01918
HC01_3	0.27633	0.18094	0.25092	0.24629	0.04552
HC01_4	0.26917	0.31629	0.35516	0.04749	0.0119
HC02_1	0.15007	0.08299	0.53458	0.22752	0.00484
HC02_2	0.33315	0.09877	0.41338	0.14825	0.00645
HC03_1	0.4431	0.23908	0.21495	0.07007	0.03281
HC03_2	0.51636	0.25517	0.17929	0.0238	0.02538
HC03_3	0.35791	0.18356	0.28571	0.06819	0.10463
HC04_1	0.43681	0.2362	0.22834	0.07249	0.02616
HC04_2	0.38258	0.29241	0.15927	0.15253	0.01322
HC04_3	0.2852	0.32366	0.24601	0.11248	0.03266
HC05_1	0.12509	0.77806	0.07006	0.00234	0.02445
HC05_4	0.10632	0.79323	0.06781	0.01212	0.02053
HC06_1	0.87518	0.04458	0.04314	0.01407	0.02303
HC06_2	0.69197	0.138	0.12553	0.02906	0.01544
HC07_1	0.6458	0.05121	0.16358	0.12945	0.00996
HC07_2	0.55405	0.18803	0.20085	0.0533	0.00377
HC08_1	0.26963	0.12593	0.38815	0.13037	0.08593
HC09_1	0.47454	0.22518	0.2238	0.06472	0.01176
HC10_1	0.57961	0.15848	0.16507	0.07788	0.01895
HC11_1	0.55437	0.19347	0.1473	0.08701	0.01785
