"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.332140146659595,0.316935220235199,0.264277405677621,0.0579293434757154,0.0287178839518707
"Sample2",0.634736292031137,0.238082131258348,0.0903415655142485,0.0251312270296136,0.0117087841666521
"Sample3",0.466396899290225,0.445983792470652,0.0578624817730969,0.0191244089987166,0.0106324174673096
"Sample4",0.613192980247462,0.224060722381115,0.129378850577146,0.0212763065994639,0.0120911401948135
"Sample5",0.47392348591752,0.396386569895677,0.0778593427636033,0.0355930410558975,0.0162375603673017
"Sample6",0.291251399267685,0.191288267190587,0.285673075338527,0.148795813784011,0.0829914444191903
"Sample7",0.336428268298204,0.383298067991436,0.212085321162539,0.0439481180165984,0.0242402245312226
"Sample8",0.753749910675169,0.175530729171077,0.0346511870273319,0.0248986495518292,0.0111695235745928
"Sample9",0.423942973603486,0.116858365299817,0.295932746251848,0.105492751065048,0.0577731637798014
"Sample10",0.560504363733432,0.234231831600583,0.168717007993909,0.0242498355408835,0.0122969611311929
"Sample11",0.593258451418844,0.265930482305563,0.0852474349433106,0.0400295474780543,0.0155340838542275
"Sample12",0.977862645328018,0.013420459292087,0.00517587443366578,0.00239322499625083,0.00114779594997806
"Sample13",0.829030845085586,0.112290931223961,0.0331747776436854,0.0174368005681098,0.00806664547865803
"Sample14",0.497048053219465,0.280117225694308,0.144126991433365,0.0541126400697628,0.0245950895830989
"Sample15",0.21032037374007,0.395685411843532,0.327224562005349,0.0457049337009596,0.0210647187100892
"Sample16",0.319647309175159,0.492578773808647,0.123383228667774,0.0441398445361934,0.0202508438122268
"Sample17",0.49646044123319,0.144465642514055,0.273983593491508,0.055748977572064,0.0293413451891829
"Sample18",0.450080548921437,0.305396799402086,0.178725308615866,0.0453324420196669,0.0204649010409449
"Sample19",0.596085849922572,0.281352571575535,0.0812401777318915,0.0274008184172323,0.0139205823527691
"Sample20",0.677208678175099,0.208839731125796,0.079836314280488,0.0230357010988631,0.0110795753197544
"Sample21",0.483886251147827,0.280177309780841,0.168064251880201,0.0456725685192315,0.0221996186718998
"Sample22",0.641508799005517,0.294865598625556,0.0451854962555504,0.0125311019458701,0.00590900416750588
"Sample23",0.450661843833334,0.378226167263505,0.117535538746594,0.0357545827116852,0.0178218674448813
"Sample24",0.274422331297908,0.229642943536165,0.369955068558725,0.0851982888794893,0.0407813677277138
"Sample25",0.784542158378381,0.114838241743766,0.0766655615442899,0.015892434909105,0.0080616034244574
