"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.833127944373059,0.124356277943765,0.0384192775335319,0.00345858135897482,0.000637918790669939
"Sample2",0.63362189937763,0.140700609571439,0.115131568890903,0.0947036632475017,0.0158422589125262
"Sample3",0.542855351403183,0.201808997952025,0.162872654493606,0.0604936836039544,0.0319693125472322
"Sample4",0.301775093102473,0.346505069458807,0.289568921074238,0.049190866783773,0.0129600495807098
"Sample5",0.100830291535196,0.233819591209209,0.4283010602173,0.164451385231406,0.0725976718068885
"Sample6",0.353235254290793,0.273583433898823,0.177326268200313,0.1528770723963,0.0429779712137708
"Sample7",0.418037574154528,0.402720034915717,0.11867939547637,0.0510327838061934,0.00953021164719199
"Sample8",0.0751020007431053,0.244687490299287,0.30954559439024,0.311281741292041,0.0593831732753274
"Sample9",0.432810715719863,0.375458907204114,0.137629548016972,0.0457307796956857,0.0083700493633643
"Sample10",0.410440237317482,0.120948266702261,0.405411179517692,0.0532684085488354,0.00993190791373015
"Sample11",0.789011186414817,0.129209030800751,0.0498823264091031,0.0252707170496006,0.00662673932572867
"Sample12",0.314431314329524,0.261589300012885,0.261867556086229,0.124630282690525,0.0374815468808372
"Sample13",0.403816297108537,0.306015022268784,0.134697507593971,0.114984001462851,0.0404871715658564
"Sample14",0.252460798379756,0.388427185320694,0.237597692363164,0.10080097533593,0.020713348600456
"Sample15",0.139749656127721,0.536486950713576,0.172420389431993,0.117958352093249,0.0333846516334614
"Sample16",0.260726508479665,0.255074996830322,0.382138031781925,0.0838235985797714,0.0182368643283159
"Sample17",0.398626121395831,0.256232596274432,0.229749656578918,0.0841394103774041,0.0312522153734147
"Sample18",0.0397305336061605,0.497858427650134,0.387918356937375,0.0528667610202131,0.0216259207861171
"Sample19",0.0365889203820225,0.738818857765815,0.112531725830925,0.0977514533049785,0.0143090427162585
"Sample20",0.608215986876551,0.151718801422432,0.151165204524124,0.0707725143712084,0.0181274928056834
"Sample21",0.493882682664326,0.343426449190926,0.124168765963588,0.0351898791673834,0.0033322230137763
"Sample22",0.541124683375499,0.192095487467178,0.160448647077418,0.0708456230438407,0.0354855590360642
"Sample23",0.427905264615351,0.298928006931187,0.214766510999881,0.0444214229035592,0.0139787945500216
"Sample24",0.405919518326185,0.345682265377542,0.175565706129318,0.0632290567797471,0.00960345338720772
"Sample25",0.173442894400613,0.186837380877699,0.396786098309273,0.202550335676951,0.0403832907354638
