"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.991590575202569,0.00402827653276159,0.00269272947900537,0.00140831111098674,0.000280107674676977
"Sample2",0.942788005857029,0.0361996943956871,0.0133219293004804,0.00638310833652049,0.00130726211028249
"Sample3",0.903757267537426,0.053621949115685,0.0247287916810848,0.0145916063831545,0.00330038528264925
"Sample4",0.904817314246685,0.0625459352072077,0.0191664125829198,0.0110552790544815,0.00241505890870601
"Sample5",0.875577284462196,0.0738680915599481,0.0296415256674965,0.0174456402249083,0.00346745808545067
"Sample6",0.953373116553023,0.0232307962149702,0.0151895447704076,0.00679796853324888,0.00140857392835055
"Sample7",0.753665820554032,0.131824454594202,0.0714174338017068,0.0354533869801515,0.00763890406990847
"Sample8",0.989738127991295,0.0048781402770739,0.00294835897354178,0.00202856286857586,0.000406809889513675
"Sample9",0.95651547439089,0.0263862772009206,0.0102263772318283,0.00567247155274439,0.00119939962361675
"Sample10",0.849192812260288,0.0929454085746761,0.0329681915990198,0.0201835117402289,0.0047100758257871
"Sample11",0.986560970992143,0.00741660666109894,0.00342558672110359,0.00214397315218663,0.000452862473468048
"Sample12",0.994411275784824,0.00332701845545952,0.00134461927514229,0.000760966218144279,0.000156120266429559
"Sample13",0.992823081479332,0.00406119429106232,0.00187497821254446,0.00102081556199778,0.000219930455063592
"Sample14",0.996166384606416,0.00202303694068489,0.00105946167977953,0.000620128519546195,0.000130988253573674
"Sample15",0.948325803439616,0.0311194357342155,0.012810943960818,0.00640096019040824,0.0013428566749423
"Sample16",0.964929398256775,0.0200735619831835,0.0088699211220521,0.00516603607017163,0.000961082567817605
"Sample17",0.98933359819672,0.00622571805360227,0.00261251773862395,0.00151822040155165,0.000309945609502277
"Sample18",0.958611785324115,0.0229769911641864,0.0102843198361138,0.00658385596829529,0.00154304770728966
"Sample19",0.864261599604996,0.0695345400898263,0.0396863938809468,0.0218043320432992,0.0047131343809316
"Sample20",0.990006399836493,0.0058762544964131,0.00235113735446285,0.00146145527317122,0.000304753039460207
"Sample21",0.956226109334645,0.0244378299847348,0.0114099007781898,0.00656159393527197,0.00136456596715873
"Sample22",0.810520032079414,0.112194920050617,0.046293682787288,0.0256583421845906,0.00533302289809072
"Sample23",0.997134698845906,0.00179443517619022,0.000690745642210963,0.000315082813530549,6.50375221626037e-05
"Sample24",0.935821663682014,0.0378752801081949,0.015716216586908,0.00864186971826345,0.00194496990462004
"Sample25",0.918889606180784,0.053656073666087,0.0161987886032588,0.00911828075608909,0.00213725079378093
