"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.498137833216172,0.275028559951745,0.163566120816556,0.0509118148556629,0.012355671159864
"Sample2",0.49755439885323,0.253881163643149,0.157412286900885,0.0808743293012264,0.0102778213015093
"Sample3",0.261867130858029,0.304849141516664,0.328032339925059,0.102853644591011,0.00239774310923752
"Sample4",0.297327643976897,0.396497180869973,0.210373504270532,0.0955432925314705,0.000258378351126826
"Sample5",0.485955193636071,0.226829279967351,0.183987003465758,0.0864821163302041,0.0167464066006149
"Sample6",0.366670043391684,0.268928218644797,0.205688646130072,0.13884125410655,0.019871837726897
"Sample7",0.103577095413686,0.199159776841658,0.371166213013813,0.214223338945078,0.111873575785766
"Sample8",0.442816078760031,0.301069274206211,0.193596072610667,0.0426871320952757,0.0198314423278159
"Sample9",0.265195761747506,0.430486171354378,0.187045815993491,0.065974013030963,0.051298237873663
"Sample10",0.286199623307427,0.170488465696514,0.355675190568437,0.186945815944806,0.000690904482816196
"Sample11",0.545864984537266,0.0238227720980237,0.325915427396179,0.0881036904461007,0.0162931255224304
"Sample12",0.311742591874976,0.270013750578548,0.20176941565454,0.212160266222135,0.00431397566980149
"Sample13",0.792696446080343,0.0570911965264596,0.0755768286312736,0.0544767836809235,0.0201587450810007
"Sample14",0.50958126348106,0.287961508051981,0.123175937404734,0.067210368945791,0.0120709221164336
"Sample15",0.319278548889577,0.290017538220636,0.302706763924126,0.0772965678931115,0.0107005810725493
"Sample16",0.531291803000889,0.01291260408994,0.361934043123366,0.0717416043615457,0.0221199454242591
"Sample17",0.218800924451537,0.22706670624371,0.315604682409331,0.16663248839212,0.0718951985033013
"Sample18",0.247768063081686,0.243485253316394,0.217555156055187,0.142502874511365,0.148688653035368
"Sample19",0.806302961966179,0.109607110029273,0.0453734440346125,0.00900408926098436,0.0297123947089515
"Sample20",0.117502830356122,0.67164314503549,0.155599067613601,0.0440510527709068,0.0112039042238809
"Sample21",0.102842711153862,0.503009133419521,0.18664374205107,0.137190054996485,0.0703143583790619
"Sample22",0.0930610283867015,0.231137166633991,0.485683805965083,0.182735226838498,0.00738277217572686
"Sample23",0.693745329872968,0.146520462355741,0.111744748506163,0.0309931890799975,0.0169962701851303
"Sample24",0.596899979883332,0.250990114170831,0.120088033265388,0.0270855433410514,0.00493632933939803
"Sample25",0.490184176922233,0.0365915178327599,0.321758562790407,0.0658317412334235,0.0856340012211765
