"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.329803220824424,0.375296325832036,0.210954378787151,0.0553034797137809,0.0286425948426078
"Sample2",0.612517814280983,0.198223917535785,0.133786058560221,0.036308595579718,0.0191636140432932
"Sample3",0.434991012558539,0.423068118941183,0.101222776139817,0.0281088005350447,0.0126092918254168
"Sample4",0.406505779651349,0.380442050859823,0.142060410581861,0.049663389111359,0.0213283697956073
"Sample5",0.553626878056172,0.190386508858588,0.18951573784642,0.044677863153659,0.0217930120851611
"Sample6",0.825920496464088,0.125408333335382,0.0418179768814647,0.00463100951103612,0.00222218380802899
"Sample7",0.655665008684346,0.125139021205537,0.139468508204226,0.0536155179490098,0.026111943956881
"Sample8",0.464602644702865,0.393654610001949,0.0945865190031589,0.0336843721101653,0.0134718541818618
"Sample9",0.88492226015893,0.0649873116441771,0.0256382454289227,0.0165337947395119,0.00791838802845845
"Sample10",0.843851475945152,0.118146439580083,0.0324678564704298,0.00383353178099765,0.00170069622333829
"Sample11",0.617983682094216,0.245636463131464,0.0869130944550307,0.0318582410121329,0.0176085193071561
"Sample12",0.780588977993757,0.128235409059782,0.0568672432160977,0.0235627174371167,0.0107456522932468
"Sample13",0.288455138829118,0.203087404937651,0.376217758385247,0.0912021586346325,0.0410375392133514
"Sample14",0.739315550661547,0.0614852575001172,0.124937009639822,0.0495231811843335,0.0247390010141795
"Sample15",0.355999353625608,0.444218842828843,0.142257452473887,0.0372765682019121,0.0202477828697496
"Sample16",0.869653611790179,0.0572970896219416,0.0561722150246288,0.011196587057042,0.00568049650620828
"Sample17",0.62453143369162,0.16964897174532,0.162500625670578,0.0295120737097204,0.0138068951827624
"Sample18",0.61338709828664,0.200486800186897,0.142012747841154,0.030681061975687,0.0134322917096223
"Sample19",0.607664737932166,0.312378053124048,0.0588735334279803,0.0140023204367505,0.00708135507905472
"Sample20",0.448333017993645,0.252876363703914,0.228352407476472,0.0466488625696803,0.0237893482562891
"Sample21",0.619346217748688,0.286068772646782,0.0607695600760543,0.0239107630476525,0.00990468648082324
"Sample22",0.754246978821465,0.091115703268564,0.0827957903716467,0.0462716223142833,0.0255699052240408
"Sample23",0.317168964331994,0.204496886570457,0.277144728968083,0.134701812828366,0.0664876073011004
"Sample24",0.457993813472082,0.260849639253266,0.210812675691414,0.0465764523207697,0.0237674192624681
"Sample25",0.83309560186731,0.112084855091813,0.0439269611092551,0.00754668068101981,0.00334590125060219
