"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.72018474073844,0.14949053972955,0.0964380683948422,0.0299933447965803,0.00389330634058723
"Sample2",0.821942300583338,0.0715771191606154,0.0787059191413595,0.0227363427661075,0.00503831834858007
"Sample3",0.658584846762191,0.0434297501165831,0.210050779423785,0.0643250337907149,0.0236095899067262
"Sample4",0.541318518859199,0.210180355828543,0.187618483467259,0.0479765599142227,0.0129060819307771
"Sample5",0.235174409720695,0.470455612888864,0.174760582353451,0.0974128211106689,0.0221965739263218
"Sample6",0.717783553116434,0.188727962862199,0.046161277816984,0.038626611401212,0.0087005948031705
"Sample7",0.697548059195822,0.202308686466028,0.0408691022907865,0.0442970081055115,0.0149771439418524
"Sample8",0.402686066796035,0.170885242459388,0.353460005985403,0.0581211644240555,0.0148475203351186
"Sample9",0.386472513363264,0.110465226757152,0.338185674747481,0.133726769438155,0.031149815693948
"Sample10",0.344434341537319,0.377459868305503,0.18081919114976,0.0750457159794748,0.0222408830279436
"Sample11",0.541737626199761,0.0493234661667897,0.274673687987663,0.103378967383174,0.0308862522626123
"Sample12",0.356282686572432,0.394803073217861,0.209734758499891,0.0338573390072103,0.00532214270260497
"Sample13",0.544216531514437,0.363432228992178,0.0775841257186279,0.0124050993304197,0.0023620144443374
"Sample14",0.699860199769797,0.122251170572802,0.104121118256114,0.052755137010285,0.0210123743910018
"Sample15",0.697795232487764,0.133299931745805,0.110055182495246,0.0536784792344356,0.0051711740367489
"Sample16",0.624281869681205,0.141355353851422,0.149464250012283,0.0629811428931918,0.0219173835618984
"Sample17",0.149332402054974,0.244057737972345,0.384937317425427,0.172269503365976,0.0494030391812785
"Sample18",0.442339750715634,0.445993283440683,0.0479769469336872,0.0530942977649401,0.0105957211450552
"Sample19",0.842728815893624,0.0916614250335464,0.0519878267668165,0.0114240939533585,0.00219783835265445
"Sample20",0.386800764383052,0.173912743080821,0.358905353273504,0.0696903161263026,0.0106908231363201
"Sample21",0.757426216508613,0.109441323260324,0.0844846001099647,0.0380985828328547,0.0105492772882433
"Sample22",0.618915408431426,0.207233585474208,0.104616007741668,0.0564120472812803,0.0128229510714181
"Sample23",0.639705882330178,0.265066258683556,0.0586208348023174,0.0318530098345374,0.0047540143494115
"Sample24",0.326080784641985,0.365809012256362,0.22543416843939,0.0630673323175537,0.0196087023447091
"Sample25",0.302004507579357,0.381552829561305,0.13337281357922,0.15211928373333,0.0309505655467877
