"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.803182138710352,0.121268503697994,0.0460019180311668,0.0240216204048977,0.0055258191555888
"Sample2",0.997832115360032,0.00133766095684805,0.000487380371451595,0.000278396920316753,6.44463913520186e-05
"Sample3",0.976037082682473,0.0139336869995232,0.00555338700649797,0.00370267872503625,0.000773164586469753
"Sample4",0.981756994460323,0.011731434152986,0.00391392563025215,0.00210005309436833,0.00049759266207045
"Sample5",0.954922199598603,0.0319656021997896,0.007542777424724,0.00458866722115674,0.000980753555726673
"Sample6",0.981940101423842,0.0119296078402975,0.00357753725001146,0.00206629461608527,0.000486458869763403
"Sample7",0.999958619599637,2.38140311796938e-05,1.02631768259881e-05,6.01060644025326e-06,1.29258591734273e-06
"Sample8",0.978316262917156,0.0117587876241499,0.0063060589432534,0.00298267826109641,0.000636212254344181
"Sample9",0.999855370528396,8.7316738391482e-05,3.3127871080929e-05,1.99133071427223e-05,4.27155498929609e-06
"Sample10",0.986078791545732,0.00788402543428637,0.00350415075569703,0.00209468070415058,0.000438351560134495
"Sample11",0.938666841756381,0.0390933828335847,0.0135809614901349,0.00705665846516301,0.00160215545473588
"Sample12",0.974696212814268,0.0147939951550363,0.00638247694602351,0.0034341490892655,0.000693165995406819
"Sample13",0.918361730887749,0.0468699298656699,0.0188616578440442,0.0131162745615087,0.00279040684102832
"Sample14",0.996861516877845,0.00168411840813593,0.000802692633320102,0.000538393727184076,0.000113278353515259
"Sample15",0.991459564215356,0.00493832720185465,0.00215957085853736,0.00118260423493782,0.000259933489313979
"Sample16",0.997064739510623,0.00157534035903517,0.000828055039508806,0.000438357197053973,9.35078937788073e-05
"Sample17",0.992229519647328,0.00470514493540686,0.00184220034522534,0.0010083627571263,0.000214772314913522
"Sample18",0.941309852457466,0.0337316076413366,0.0133441610126671,0.00961878306219604,0.00199559582633432
"Sample19",0.99569750728664,0.00210767546578326,0.00132984810761799,0.000701202017158791,0.000163767122799661
"Sample20",0.993858809482216,0.00313592278658366,0.00176587308777636,0.00101153440473124,0.000227860238692677
"Sample21",0.983591910610392,0.0105873769427469,0.00331119363397747,0.0020585578381765,0.00045096097470762
"Sample22",0.891822032679973,0.0626861648760886,0.0249890357156224,0.0170697696238811,0.00343299710443533
"Sample23",0.937843983366544,0.0398496064521832,0.0125850870829973,0.00796194276751634,0.00175938033075954
"Sample24",0.999188239179589,0.000435886546542262,0.000224985065168747,0.000123682666662796,2.72065420370955e-05
"Sample25",0.970355415276528,0.0157425537238313,0.00797974852833008,0.00493381224946763,0.000988470221843192
