"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.971375802472054,0.0146939385511893,0.0081246106866803,0.00475271417045768,0.00105293411961822
"Sample2",0.69585193693191,0.193842327888237,0.0673502385414978,0.0357264507441883,0.00722904589416681
"Sample3",0.945139636792749,0.0286452897761125,0.0157169614079562,0.0086858236670477,0.00181228835613448
"Sample4",0.955531973190872,0.0272432461986109,0.0104978748536465,0.00550967701825455,0.00121722873861642
"Sample5",0.988914358003509,0.00715991535993889,0.00234246339544975,0.00131590326034971,0.000267359980752964
"Sample6",0.998217488058109,0.0010904227977664,0.000427537172437582,0.000218860155682047,4.56918160053539e-05
"Sample7",0.846314451833444,0.0939244685152994,0.0327495986111306,0.0224833769383943,0.00452810410173177
"Sample8",0.851926645465567,0.095356775413543,0.0330031811685669,0.0164159069039687,0.00329749104835417
"Sample9",0.723434038940121,0.169540909429512,0.0656909849024532,0.0344206675268395,0.00691339920107432
"Sample10",0.893527004873085,0.058399788464314,0.0259562158418062,0.0183497151429666,0.00376727567782823
"Sample11",0.99975704546829,0.000159046660734572,4.83365790467084e-05,2.92865048920938e-05,6.28478703626406e-06
"Sample12",0.932020105012898,0.0444159717992013,0.0129882444441656,0.00857163027060046,0.00200404847313419
"Sample13",0.976199910492541,0.0138696818975979,0.00605672211181948,0.003200175861034,0.000673509637007837
"Sample14",0.991301540445239,0.00515271448484416,0.00208656673446618,0.00120485963142516,0.000254318704025508
"Sample15",0.888749956511871,0.0660118669609014,0.028947354988818,0.0134317170454678,0.00285910449294226
"Sample16",0.995614645368061,0.00236718395608299,0.00116944751217657,0.000701419678058654,0.000147303485621127
"Sample17",0.884330013994823,0.0760031372579485,0.0237141135677101,0.0130946540950015,0.00285808108451722
"Sample18",0.999842402497095,8.1827343566867e-05,4.63060687588642e-05,2.4159609942962e-05,5.30448063642254e-06
"Sample19",0.981404978234226,0.0113742187630464,0.00429108328088288,0.00242374703274273,0.000505972689102167
"Sample20",0.95977002161302,0.025655591944677,0.00861631060799848,0.00488546157175787,0.00107261426254669
"Sample21",0.922521191960271,0.0460935771052448,0.0193290361853376,0.0100398157352563,0.00201637901389013
"Sample22",0.995600061718249,0.00256000390161324,0.00104942361322955,0.000659321220996221,0.000131189545911659
"Sample23",0.960019493826834,0.0216450495504948,0.0109467904884167,0.0060930271084783,0.0012956390257759
"Sample24",0.993827306880133,0.00356998363914425,0.00160148814019047,0.000837775728823583,0.000163445611708488
"Sample25",0.643227612516764,0.203174397464029,0.0866514519103632,0.0549538578489504,0.0119926802598937
"Sample26",0.991873263478737,0.00491759039575534,0.0019437943447443,0.00103096735645869,0.000234384424304501
"Sample27",0.828969607015411,0.092999553875028,0.046778216197707,0.025582371926531,0.00567025098532271
"Sample28",0.980481241032758,0.0091430808271984,0.00610022196322989,0.00350003513239108,0.000775421044422393
"Sample29",0.977014718123979,0.0139244304781068,0.00537596667410818,0.00297329686216287,0.00071158786164308
"Sample30",0.953838302023907,0.0227433628553812,0.0141273033491555,0.00773218820987018,0.00155884356168653
"Sample31",0.859814741081195,0.0852379371330975,0.0330625942101064,0.0179348760180532,0.00394985155754749
"Sample32",0.999822054322585,0.000104506670468626,4.44927708455292e-05,2.34145651625928e-05,5.53167093783378e-06
"Sample33",0.999841266831326,9.21557755980653e-05,4.03593669674449e-05,2.12257462823715e-05,4.99227982621498e-06
"Sample34",0.9673548015786,0.0191029730383755,0.00811484669956523,0.00444749550568537,0.000979883177773561
"Sample35",0.999955985014213,2.23247232188944e-05,1.32644697082082e-05,6.88242932306327e-06,1.54336353637871e-06
"Sample36",0.882088405447997,0.072577502410247,0.0281197968895115,0.0140950536508941,0.00311924160135027
"Sample37",0.985894547445169,0.00768499602708137,0.00401897301212486,0.00197314813144533,0.000428335384179086
"Sample38",0.985172687401035,0.008004495927593,0.00403005168219872,0.00228130013006816,0.000511464859104871
"Sample39",0.974276457455185,0.013778815409055,0.00634843807212576,0.00454883293549284,0.00104745612814118
"Sample40",0.93967310399655,0.0393199765746087,0.0122591575307193,0.00722932309805622,0.00151843880006585
"Sample41",0.999611014298752,0.000266667473607952,7.44565153755436e-05,3.92171057082151e-05,8.64460655641234e-06
"Sample42",0.89668318983645,0.0640231354863047,0.0237868900357401,0.0126770759718658,0.0028297086696398
"Sample43",0.991639755768382,0.00423768788254504,0.00242231171610167,0.00140892916311441,0.000291315469856959
"Sample44",0.992105889505083,0.00492971303563761,0.0017509011853524,0.00100207292313648,0.000211423350790687
"Sample45",0.854301664059985,0.0932599577921273,0.0310823553125226,0.0175180390119392,0.00383798382342641
"Sample46",0.939105387458657,0.0332785579991286,0.0164169804100202,0.00917718973411189,0.00202188439808202
"Sample47",0.993131222177635,0.00390098325767854,0.00163702795162583,0.00109061436828792,0.000240152244772434
"Sample48",0.97018990239081,0.0169001117074999,0.00752643017097208,0.00437880644719241,0.00100474928352602
"Sample49",0.969601969578378,0.0169761707596771,0.00758948830732354,0.00481743220069869,0.0010149391539223
"Sample50",0.958730302293112,0.0287608953258734,0.00733042728648108,0.00429143440138329,0.000886940693150608
