"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.867991393982027,0.079423384721366,0.0511094383670431,0.000980135842046391,0.000495647087517807
"Sample2",0.706920491819284,0.215823983164488,0.0325899665218685,0.0305760263659378,0.0140895321284211
"Sample3",0.676151198029119,0.259218460589329,0.0577712513107315,0.00450682593263009,0.00235226413818971
"Sample4",0.551342756016424,0.327996811073607,0.110612131532203,0.0068183893066675,0.00322991207109872
"Sample5",0.664272983486141,0.190820141802885,0.142598032991995,0.00158537712095788,0.000723464598020005
"Sample6",0.517584024204612,0.382070804768002,0.100170019785692,0.000118812295218237,5.63389464759118e-05
"Sample7",0.747127390371791,0.184494543100237,0.0464263136592451,0.0148876756433626,0.00706407722536441
"Sample8",0.0985120419471452,0.729985280702249,0.118409472233981,0.0364319786720327,0.0166612264445925
"Sample9",0.81583641438469,0.150058782130342,0.015751111820049,0.0124557591153343,0.00589793254958446
"Sample10",0.952571573576262,0.0351762523577574,0.00954364175245568,0.0017965409807726,0.000911991332752416
"Sample11",0.0699478720609966,0.715575468906177,0.214443198612656,2.30483470510549e-05,1.04120731194398e-05
"Sample12",0.287893068589272,0.466850997032784,0.212052739696647,0.0228607195624345,0.0103424751188623
"Sample13",0.112412853563006,0.34711228707541,0.470754907157743,0.047273475973152,0.0224464762306883
"Sample14",0.63980317046095,0.191783397818405,0.132169068464119,0.0242037401746113,0.0120406230819138
"Sample15",0.623132102706548,0.25592441109043,0.093585201553621,0.0189439442844009,0.00841434036500029
"Sample16",0.57368000473909,0.209885004314052,0.214325594730822,0.00139955588865888,0.000709840327376681
"Sample17",0.651848231820455,0.23719968188598,0.093511179168027,0.0116476953956463,0.00579321172989219
"Sample18",0.0628901615275808,0.432184769253555,0.489941889006318,0.010163516682142,0.00481966353040377
"Sample19",0.488672352140989,0.373156000217813,0.127933018253109,0.00700989303406883,0.0032287363540205
"Sample20",0.452321002083414,0.321847605909101,0.190453162617874,0.0238558299201723,0.0115223994694389
"Sample21",0.729455740516366,0.22052895008446,0.0497544919038194,0.000175057573811257,8.5759921543455e-05
"Sample22",0.236250411255632,0.635640607061702,0.118684785229296,0.00623514285116504,0.00318905360220514
"Sample23",0.521547884381463,0.325959211003706,0.151295045984241,0.000802998604365719,0.000394860026224524
"Sample24",0.724177153718477,0.238395277468911,0.0132294744468102,0.0161705302391638,0.00802756412663842
"Sample25",0.18788194252809,0.492189205973379,0.316424549901168,0.00237153337234813,0.00113276822501546
"Sample26",0.62281277422598,0.342850108779473,0.0342043851872776,9.03248767881316e-05,4.24069304811099e-05
"Sample27",0.628880724474343,0.198435899741051,0.140318769240983,0.0214911004108769,0.0108735061327465
"Sample28",0.371785247890048,0.199738203391767,0.407091026034655,0.0142030474128306,0.0071824752706999
"Sample29",0.389497371844425,0.433850506127743,0.15993523034352,0.0107778506167444,0.00593904106756785
"Sample30",0.792584355538554,0.130468647918928,0.0559537542324791,0.0144250848082294,0.00656815750180957
"Sample31",0.79107771333823,0.148885973886803,0.0424299338892061,0.0119274740735185,0.00567890481224245
"Sample32",0.576920793875927,0.244588991966336,0.178471120042058,1.28405928671565e-05,6.25352281244555e-06
"Sample33",0.624414617710056,0.135251065210987,0.240311931016079,1.5018566981302e-05,7.36749589591455e-06
"Sample34",0.628414695538742,0.333316661627785,0.0382528078889405,1.08270710917092e-05,5.00787344084638e-06
"Sample35",0.851027569203,0.090754626826482,0.0496404982110789,0.00577195872996872,0.00280534702947028
"Sample36",0.197353440274991,0.46301472042845,0.339625152755373,4.36976190752904e-06,2.31677927882244e-06
"Sample37",0.686240938739819,0.163627137306478,0.113203955389383,0.0250835133369466,0.0118444552273736
"Sample38",0.996071910539811,0.00303129953955114,0.000876712651707678,1.33358549137681e-05,6.74141401682049e-06
"Sample39",0.299245809821747,0.557841594887977,0.132157702926773,0.00714616934814289,0.00360872301536046
"Sample40",0.275578509707785,0.447640477778465,0.274117449396557,0.00177663930556638,0.000886923811626742
"Sample41",0.256568116685243,0.207336254523358,0.535201054361923,0.000600295762739997,0.000294278666736272
"Sample42",0.84904735710754,0.0869618010100808,0.0373131294567782,0.0172761574111941,0.00940155501440735
"Sample43",0.931276119341536,0.0492464564524995,0.0189157249762664,0.00037840332769267,0.000183295902004957
"Sample44",0.716544754825659,0.198227718587798,0.0841350997170652,0.000718934439394703,0.000373492430083141
"Sample45",0.286772482307447,0.302987682872222,0.390638454286884,0.0133496301385577,0.00625175039488907
"Sample46",0.281479807648608,0.543660664806793,0.162776069412363,0.00817024779102251,0.00391321034121343
"Sample47",0.608677787372349,0.309794665474563,0.0743136237957342,0.00481101512918409,0.00240290822817003
"Sample48",0.841035542221813,0.109914825914976,0.043185869072127,0.00388659996202704,0.00197716282905711
"Sample49",0.491117022700359,0.293598389234617,0.213360225720653,0.00128526068174608,0.000639101662626045
"Sample50",0.114303381990508,0.512457827079785,0.353802861208332,0.012976421932025,0.00645950778934955
