"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.817543538418063,0.0952715181061468,0.0487005860359998,0.0254519936760828,0.0130323637637078
"Sample2",0.470022854532042,0.369369124486635,0.118687785833562,0.0287508763646321,0.0131693587831298
"Sample3",0.763388969523616,0.160464315128009,0.0594914949393255,0.0115119582063684,0.00514326220268026
"Sample4",0.570262085964985,0.158817283617675,0.188662232201382,0.0563074513443348,0.0259509468716227
"Sample5",0.767189194306427,0.173571830449012,0.0397662921804392,0.0133196249982117,0.00615305806591034
"Sample6",0.677260498935485,0.155597707032324,0.125843961124647,0.0293013434786877,0.0119964894288565
"Sample7",0.454033029874701,0.424858437686068,0.0831694240208605,0.0263802898992623,0.0115588185191086
"Sample8",0.330389592879838,0.453906650849266,0.16272601016311,0.0362514845129468,0.0167262615948394
"Sample9",0.879035652375825,0.0970291414680891,0.0194464935615981,0.00304869382710421,0.00144001876738334
"Sample10",0.6823687519323,0.0828669928829311,0.184931113325737,0.034545810862362,0.0152873309966701
"Sample11",0.644418537341759,0.274922036263874,0.0627949988622009,0.0125034577972445,0.00536096973492124
"Sample12",0.824700099944644,0.120465910652544,0.0402610407230373,0.0100012215444652,0.00457172713530872
"Sample13",0.801437296344416,0.154222410222689,0.0311084403278976,0.00870542682040653,0.00452642628459072
"Sample14",0.210108784516719,0.579783401308735,0.101211516332878,0.0763674566393203,0.0325288412023466
"Sample15",0.43489697579325,0.3327466696601,0.17441794376958,0.0389462567108897,0.018992154066181
"Sample16",0.806378638588894,0.0539208531713018,0.0732022922508868,0.0441349570084073,0.0223632589805101
"Sample17",0.582919866014093,0.281090165480664,0.0981400018340204,0.024817408720283,0.0130325579509396
"Sample18",0.617574625754657,0.320033121108083,0.0471513416195183,0.0101452144516927,0.00509569706604946
"Sample19",0.651991946294851,0.215213836317154,0.0932680246361117,0.0279572719985906,0.0115689207532922
"Sample20",0.621917321790227,0.149084799157939,0.139247556415855,0.0590784914643061,0.0306718311716729
"Sample21",0.669589457853184,0.205263588913354,0.100020423940533,0.0169180084950687,0.00820852079786061
"Sample22",0.527593320042254,0.0982905031624706,0.21313390384308,0.110133945770861,0.0508483271813344
"Sample23",0.504737870926136,0.394594554203746,0.0589607601234912,0.0269745573381236,0.0147322574085028
"Sample24",0.491192788239022,0.344817002522529,0.111249135627096,0.0360911279402212,0.0166499456711316
"Sample25",0.751736507134221,0.135563952916804,0.0869855567492271,0.0171740771612587,0.0085399060384888
"Sample26",0.504871151644223,0.293337543053405,0.14224867395583,0.0409632763359405,0.0185793550106017
"Sample27",0.801584026012342,0.0782820500395612,0.0820385208659475,0.0247903508885471,0.0133050521936022
"Sample28",0.823483389898968,0.0963093930544926,0.049007573250354,0.0209866523380061,0.0102129914581792
"Sample29",0.625654786907188,0.275354122253544,0.0595573402856424,0.0264228258426081,0.0130109247110176
"Sample30",0.715021350719908,0.243532120127713,0.0309805473633763,0.00697506211165772,0.00349091967734437
"Sample31",0.351035362415296,0.342345456752776,0.244427541522685,0.0407440403053645,0.0214475990038791
"Sample32",0.88174174816189,0.0776148774151591,0.0291316227700557,0.00746267982182784,0.00404907183106735
"Sample33",0.713367753564309,0.186307843246251,0.0617357509653463,0.0260342118540273,0.012554440370066
"Sample34",0.468233045193548,0.263467733858989,0.126789016839745,0.094135052011536,0.0473751520961818
"Sample35",0.469972534615509,0.26863608720708,0.188910304023683,0.0485351595662214,0.0239459145875071
"Sample36",0.211958834323075,0.437944866830274,0.18176801890036,0.114081906760429,0.0542463731858615
"Sample37",0.792059046894905,0.156241901069517,0.037428026355031,0.00989013564156161,0.00438089003898602
"Sample38",0.640242789301925,0.239565041704548,0.0845731779221293,0.0235769245761129,0.0120420664952855
"Sample39",0.442379517716283,0.119090522434763,0.303541316093296,0.0917706927003697,0.0432179510552886
"Sample40",0.24727770114597,0.156856744400031,0.405630380935354,0.129384503764056,0.0608506697545892
"Sample41",0.902565940412358,0.0262185283609726,0.0545783603307262,0.011651931465564,0.00498523943037946
"Sample42",0.532156214790667,0.275331097854384,0.133857644624463,0.038814809546204,0.0198402331842816
"Sample43",0.374799861716814,0.0978663447903656,0.288420941747575,0.163526974113456,0.0753858776317889
"Sample44",0.423733810776958,0.358800842309188,0.160527315067847,0.0393746623356848,0.0175633695103223
"Sample45",0.474254820986144,0.248667662782526,0.171042440474823,0.0738133036974824,0.0322217720590246
"Sample46",0.548429378715168,0.416283069810892,0.0223353430679574,0.00847578843660073,0.00447641996938254
"Sample47",0.543305227007144,0.195523729455062,0.17035810745941,0.0592713666744602,0.0315415694039234
"Sample48",0.17216027866856,0.277382480284417,0.375319471040786,0.122614278046143,0.0525234919600947
"Sample49",0.490378556071358,0.337937708973451,0.0857279186910014,0.0613943109949091,0.0245615052692802
"Sample50",0.672237346218046,0.160746931651041,0.116999287983154,0.0343557155183901,0.0156607186293685
