"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.168232088790604,0.397110488325264,0.206046689574577,0.212712552603692,0.0158981807058625
"Sample2",0.533791663058562,0.249824661289708,0.159342982818634,0.0467638918910309,0.0102768009420649
"Sample3",0.293551060985697,0.152084492241834,0.400976222713256,0.130467925047008,0.0229202990122048
"Sample4",0.248817373088799,0.318803423547217,0.215068132180452,0.171218609329482,0.0460924618540494
"Sample5",0.305298607748119,0.146810894741133,0.422150355346047,0.0966445247269646,0.0290956174377358
"Sample6",0.309811581115333,0.211808855958479,0.279549554540605,0.165040449128445,0.0337895592571373
"Sample7",0.130188541631097,0.48154336778389,0.308197527627295,0.0624973631602882,0.0175731997974296
"Sample8",0.217201934246728,0.539478724890876,0.175942162730298,0.0559997013910195,0.0113774767410784
"Sample9",0.30746088958348,0.0692698402016203,0.505574244779179,0.102712335174699,0.0149826902610213
"Sample10",0.354629316304859,0.194488035426032,0.18143610912603,0.23042798015146,0.0390185589916191
"Sample11",0.232914709030053,0.262832068201041,0.398446272459747,0.0897875484764148,0.0160194018327444
"Sample12",0.185521043048634,0.124420627635124,0.503459989052412,0.152323875402393,0.0342744648614366
"Sample13",0.084103523437343,0.253290534783207,0.532823934337793,0.110530949207821,0.0192510582338369
"Sample14",0.385867748307826,0.338135484336355,0.0998750225404672,0.147150037106039,0.028971707709313
"Sample15",0.818503130280602,0.0304838822005045,0.0832581296753303,0.0529885077551932,0.0147663500883706
"Sample16",0.270958890968245,0.296618412134346,0.34926905725169,0.0533703318520595,0.0297833077936597
"Sample17",0.758929359897672,0.118702666167595,0.0801310631528045,0.034354485110855,0.00788242567107391
"Sample18",0.337901023886495,0.379164080200434,0.191888656212118,0.0797407050228751,0.0113055346780785
"Sample19",0.259656681858471,0.247542517957403,0.335942424990252,0.124300253071574,0.0325581221223005
"Sample20",0.141573832022544,0.315317026194215,0.280951912555433,0.188290180720993,0.0738670485068153
"Sample21",0.564941307688977,0.137132008074651,0.203683386360368,0.0813658961260166,0.0128774017499881
"Sample22",0.412295501873402,0.27729066749598,0.108602713906295,0.138504936953365,0.0633061797709578
"Sample23",0.308721797461339,0.343741524914872,0.280539898477547,0.0468809657004094,0.0201158134458329
"Sample24",0.673084474607822,0.167487582200696,0.115262133220119,0.0341889847847426,0.00997682518662082
"Sample25",0.307190118876753,0.157578850569862,0.337578420106337,0.166777021242825,0.030875589204223
"Sample26",0.46727025069885,0.264823500310384,0.177762721407083,0.0716090840910411,0.0185344434926423
"Sample27",0.275318944722364,0.127549889729479,0.309000509904093,0.224043609913499,0.0640870457305654
"Sample28",0.637231871897455,0.0558567770846185,0.193477855653228,0.0817441176373788,0.0316893777273199
"Sample29",0.418879250394468,0.211069434802729,0.282515222224019,0.0624096172341878,0.0251264753445964
"Sample30",0.445184482452665,0.147737636823928,0.346263745371275,0.0502373410276551,0.0105767943244763
"Sample31",0.481957340938522,0.345451305630626,0.106566078468748,0.056907464551283,0.00911781041082182
"Sample32",0.595563095055208,0.0394236760323056,0.258465193489524,0.0855901800007505,0.0209578554222119
"Sample33",0.0692856051003616,0.598394504783927,0.24683555297098,0.0687816861665381,0.0167026509781925
"Sample34",0.587304180234276,0.157943324443303,0.14659399771099,0.0806966222638519,0.027461875347579
"Sample35",0.829785150378248,0.081199538297444,0.0513332226489862,0.0282855007107099,0.00939658796461226
"Sample36",0.335443294776397,0.287451993728973,0.137168091111821,0.184657299915617,0.0552793204671916
"Sample37",0.766324620934954,0.0825319027086897,0.120523071177592,0.0257828293268726,0.00483757585189181
"Sample38",0.332494737043247,0.149091885289732,0.359490093102642,0.128796969246492,0.0301263153178868
"Sample39",0.380904328396897,0.315994999511098,0.168765299435434,0.0803314227728412,0.0540039498837306
"Sample40",0.408503894210134,0.197268305925024,0.156921537876968,0.140964807094535,0.0963414548933388
"Sample41",0.436031707696417,0.186584387998559,0.333069934375604,0.0281860500879346,0.0161279198414851
"Sample42",0.236448852398828,0.132585043865772,0.391332035234996,0.187380665952785,0.0522534025476185
"Sample43",0.400943515378675,0.306812198721901,0.147892536315161,0.0962616925418445,0.0480900570424188
"Sample44",0.30580199682596,0.4076092511283,0.196210378341924,0.0740408148613455,0.0163375588424707
"Sample45",0.0150525489639347,0.23096493785889,0.437105463181571,0.233525586452238,0.0833514635433661
"Sample46",0.583057811262672,0.0839211711457126,0.210262585368668,0.112497673690771,0.0102607585321764
"Sample47",0.548236928773583,0.264391413394956,0.117645150937575,0.0500584159141184,0.0196680909797676
"Sample48",0.503683137909463,0.29866189657558,0.0635666054518577,0.0903223587744769,0.0437660012886224
"Sample49",0.433410027115378,0.099275120964173,0.276247336538065,0.154652636993247,0.0364148783891372
"Sample50",0.795182236192571,0.0210419032262429,0.131390905564432,0.0389783632719732,0.0134065917447813
