"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.389130097495198,0.259750855788188,0.2617475498977,0.0715668543006215,0.017804642518292
"Sample2",0.603098141502529,0.0496189128147051,0.276058969116152,0.0189526457479534,0.0522713308186607
"Sample3",0.35518466165252,0.503437987208419,0.0763728891491621,0.0529611345351933,0.0120433274547047
"Sample4",0.2930735414799,0.273470407238865,0.254510231448511,0.082406167358349,0.0965396524743751
"Sample5",0.694495283842559,0.214261561655222,0.0715491772072223,0.00656196986105474,0.0131320074339424
"Sample6",0.730280495220546,0.0203672644594061,0.150556403104807,0.0792172033356126,0.0195786338796278
"Sample7",0.235808450913226,0.446149127768691,0.174033512263683,0.143818743061751,0.000190165992649288
"Sample8",0.184510004392489,0.314844999920467,0.157833520434104,0.301204977645066,0.0416064976078734
"Sample9",0.611435609621404,0.330259911663243,0.0306798285181766,0.0253825642018669,0.00224208599530901
"Sample10",0.398658952497721,0.201625802984312,0.328275071046705,0.0625281306865576,0.00891204278470464
"Sample11",0.514635914354885,0.190621212546768,0.227712328976557,0.0474028525369113,0.0196276915848784
"Sample12",0.689317884704015,0.0950724020510364,0.162322175304192,0.0466703176752622,0.00661722026549404
"Sample13",0.533332741294236,0.352870763315416,0.0512573061780063,0.040502437081928,0.0220367521304133
"Sample14",0.751796189878918,0.0987122439756449,0.109390783572129,0.0218351575358206,0.0182656250374879
"Sample15",0.482255932948804,0.202014993500587,0.199280929472866,0.0919957357539291,0.0244524083238136
"Sample16",0.607374953055932,0.128778929775131,0.111281716516757,0.131503722274719,0.0210606783774612
"Sample17",0.170525586621458,0.271360702803097,0.330032405558457,0.116421492339245,0.111659812677743
"Sample18",0.512201063382652,0.368154271103645,0.087227487996504,0.0228650156629136,0.00955216185428506
"Sample19",0.292844429069579,0.106973572248889,0.511871070105604,0.0696615483355423,0.0186493802403866
"Sample20",0.578247686326499,0.242061260093757,0.145071053299381,0.00585646581909394,0.0287635344612691
"Sample21",0.179558409458148,0.191595614523425,0.399267488940884,0.206085501715799,0.0234929853617448
"Sample22",0.240964475622575,0.502696877509037,0.148205693279214,0.0615365550107155,0.0465963985784584
"Sample23",0.452187432091478,0.327444771696096,0.165370003273023,0.0451162505323131,0.00988154240708982
"Sample24",0.759981947322359,0.0458964768066112,0.132233157899334,0.0507049914224585,0.011183426549237
"Sample25",0.276996733126689,0.135058162495366,0.436841553555693,0.130506031756482,0.0205975190657706
