"Firmicutes","Actinobacteria","Proteobacteria","Bacteroidetes","Other"
"Sample1",0.265583240434731,0.351059091425738,0.224261272455633,0.109740933272353,0.0493554624115447
"Sample2",0.584339378278327,0.259859254988959,0.113323831686568,0.0308714067086921,0.0116061283374543
"Sample3",0.322600505809995,0.412215247439722,0.202152014474454,0.0463071681454239,0.0167250641304049
"Sample4",0.50070976000736,0.1780869667901,0.222608959293908,0.0714610811197649,0.0271332327888674
"Sample5",0.318737349787951,0.456221156444693,0.151485184832735,0.0532585307600206,0.0202977781746004
"Sample6",0.405813013624852,0.264963118144472,0.243215728077551,0.0654628362064438,0.020545303946681
"Sample7",0.597375015086894,0.282215378094692,0.0825260786075434,0.0280610340520109,0.00982249415885978
"Sample8",0.69680120707917,0.184421482240804,0.0878917134977065,0.0223747680958635,0.0085108290864557
"Sample9",0.194277607065612,0.5839677298683,0.17494074962204,0.0335585015902036,0.0132554118538432
"Sample10",0.401078575781361,0.161247907339612,0.336022432258157,0.0749825544172985,0.0266685302035713
"Sample11",0.435755334244608,0.392741785964532,0.130341637919357,0.0307624092268425,0.0103988326446608
"Sample12",0.257693142766137,0.45762489362949,0.205965494349759,0.0572600585964106,0.0214564106582033
"Sample13",0.28301323445634,0.501524777845229,0.15022093315609,0.044655548030605,0.0205855065117358
"Sample14",0.794128469167282,0.135647380911739,0.036845232523279,0.0250126066393148,0.00836631075838577
"Sample15",0.612897698033696,0.206101277031143,0.133378120110279,0.0336369351077508,0.0139859697171319
"Sample16",0.277712070017518,0.204862171048757,0.288701312518463,0.158590719166075,0.0701337272491864
"Sample17",0.489845761659247,0.308547618233088,0.143811022634829,0.0393596092217901,0.0184359882510462
"Sample18",0.45965319355913,0.260107671297064,0.198814120464576,0.0580219462492756,0.0234030684299543
"Sample19",0.456532368460286,0.4119527745389,0.0918128697573282,0.0267008894369972,0.0130010978064884
"Sample20",0.620673858581051,0.163073962790981,0.154870578304845,0.0437704466546828,0.0176111536684394
"Sample21",0.267795497052206,0.392173736071265,0.225437049546504,0.0721967730180537,0.042396944311971
"Sample22",0.677999446044835,0.196957452038635,0.0818278012766721,0.032343935151122,0.0108713654887355
"Sample23",0.654823968294457,0.12228514807193,0.144714452171472,0.0565578298523408,0.0216186016098
"Sample24",0.500999531303544,0.305810182013745,0.129516058013538,0.0470681062909631,0.0166061223782104
"Sample25",0.520311080387702,0.222760438803745,0.17686145102376,0.0571075303917577,0.0229594993930362
"Sample26",0.366989311210577,0.452751171561611,0.10977503579935,0.0497062934215364,0.0207781880069256
"Sample27",0.645942647304067,0.26105615873578,0.0623328151559887,0.0208542590202622,0.00981411978390177
"Sample28",0.483590838997936,0.288921610487956,0.169608446063839,0.0391712046962071,0.0187078997540616
"Sample29",0.503655787892541,0.31508835282826,0.145424523932611,0.0261362099438709,0.00969512540271702
"Sample30",0.531306880196066,0.162610138483792,0.202993452831297,0.0773082334184689,0.025781295070376
"Sample31",0.615196835400128,0.226829183329096,0.112062096817178,0.0307376237505846,0.015174260703014
"Sample32",0.371850113526522,0.366846472303075,0.164428301224397,0.0687847315877647,0.0280903813582416
"Sample33",0.585801751065679,0.189114105918578,0.116465697150987,0.0755648544980014,0.033053591366754
"Sample34",0.584380504058186,0.193550039716688,0.158593935120717,0.0445858920154186,0.0188896290889902
"Sample35",0.792601605079219,0.104783326663275,0.0568687572039704,0.0326932367571156,0.0130530742964201
"Sample36",0.292967507780827,0.477362663350855,0.16425342892978,0.0482342898742369,0.0171821100643019
"Sample37",0.439504844762811,0.335057733526498,0.157548011765915,0.0468869823135068,0.0210024276312689
"Sample38",0.606837325004236,0.0903242531148524,0.208869408144518,0.0674529161006277,0.026516097635766
"Sample39",0.76369771171251,0.0532455346439234,0.124592803201421,0.041991941212241,0.0164720092299052
"Sample40",0.753128768038088,0.16533935347563,0.0629440989984513,0.0129602338140351,0.00562754567379553
"Sample41",0.482274619607915,0.28147338648295,0.153402860012933,0.0554949648649658,0.0273541690312364
"Sample42",0.847375728480882,0.0486947242175967,0.0752883851007703,0.0194390416034434,0.00920212059730802
"Sample43",0.451189926838614,0.339669660765771,0.15605443021963,0.0364949407858115,0.0165910413901735
"Sample44",0.58332209225284,0.173929437419599,0.184439031362255,0.040815205470195,0.0174942334951113
"Sample45",0.12836943291157,0.384727919380976,0.303658080837965,0.128109191654922,0.0551353752145676
"Sample46",0.621266031595743,0.178761541985235,0.123503828536849,0.0475597981484416,0.0289087997337313
"Sample47",0.698670166207035,0.156910399303514,0.111390161915231,0.0227970914977974,0.0102321810764225
"Sample48",0.413349078075041,0.153425514449872,0.350751772893851,0.0594881248230835,0.0229855097581525
"Sample49",0.56839382992745,0.238524490368677,0.141331247053227,0.0371169965545997,0.0146334360960461
"Sample50",0.607767301482072,0.14443242514107,0.155389538994806,0.0607970223762269,0.0316137120058246
