	SUM_Firmicutes	SUM_Actinobacteria	SUM_Proteobacteria	Bacteroidetes	Other
HC01_1	180	44	179	91	7
HC01_2	336	86	41	27	10
HC01_3	138	90	125	123	23
HC01_4	135	158	178	24	6
HC02_1	75	41	267	114	2
HC02_2	167	49	207	74	3
HC03_1	222	120	107	35	16
HC03_2	258	128	90	12	13
HC03_3	179	92	143	34	52
HC04_1	218	118	114	36	13
HC04_2	191	146	80	76	7
HC04_3	143	162	123	56	16
HC05_1	63	389	35	1	12
HC05_4	53	397	34	6	10
HC06_1	438	22	22	7	12
HC06_2	346	69	63	15	8
HC07_1	323	26	82	65	5
HC07_2	277	94	100	27	2
HC08_1	135	63	194	65	43
HC09_1	237	113	112	32	6
HC10_1	290	79	83	39	9
HC11_1	277	97	74	44	9
