"Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Cyanobacteria","OD1","TM7","Deinococcus.Thermus","Nitrospira","Planctomycetes","Chloroflexi","BRC1"
"Sample1",0.953254756347431,0.0249571342564349,0.0102453987972514,0.00628140712335167,0.00377465997588921,0.00100265377331398,0.000242514753862484,0.000162347882935463,5.39291756337744e-05,1.79953443112179e-05,3.60102914402437e-06,3.60154044068825e-06,0
"Sample2",0.990494869031468,0.00795243614087091,0.000599048909107533,0.000487706798926047,0.000363319435316394,6.84101967779655e-05,1.7118990808839e-05,1.15414192639933e-05,3.78123638361668e-06,1.2628375217318e-06,2.52501990849355e-07,2.525015637932e-07,0
"Sample3",0.957391840210303,0.0364108726103489,0.00289052871908113,0.00135269319379474,0.00166644186711078,0.000191808238694452,4.78895058210568e-05,3.20691426590736e-05,1.08056142230295e-05,3.60795932158838e-06,7.21478588765803e-07,7.21460053912353e-07,0
"Sample4",0.6938730909018,0.132310073737037,0.0552820510616935,0.0561404042923072,0.042821848086096,0.0130340656077406,0.0032722341244964,0.00219181016231964,0.000732402938996772,0.000244441109512589,4.87755799108008e-05,4.88023980895008e-05,0
"Sample5",0.648175993127142,0.287859505516974,0.0163388672846045,0.0201941188837601,0.026842045163502,0.000393485929011711,9.80018081714125e-05,6.5387608643402e-05,2.22164839013768e-05,7.41253345428582e-06,1.48278417833472e-06,1.48287665702021e-06,0
"Sample6",0.777848025333463,0.140786549172259,0.0386426558716697,0.0192925210150716,0.0218986494946375,0.0010278101914546,0.000252720530543024,0.000169288127118467,5.57865688267164e-05,1.85690389634791e-05,3.71308831497311e-06,3.71156767752592e-06,0
"Sample7",0.865906734152295,0.108516311123855,0.00768878300051342,0.007741294187463,0.00716998650158484,0.00198004483304217,0.000498696092643029,0.000335084836648914,0.000111111322957571,3.71152274861608e-05,7.41962834354639e-06,7.41909316754549e-06,0
"Sample8",0.911131348810392,0.075105655611173,0.0067074240867582,0.00352341199508784,0.00281333849108064,0.000476515886023686,0.000121001695635705,8.12089903961715e-05,2.7333022056552e-05,9.11321695966992e-06,1.82459818680599e-06,1.8235962494818e-06,0
"Sample9",0.645476859262775,0.308887351945193,0.0184038081419833,0.0149141752843084,0.00933481977078552,0.00198092103420004,0.000501906209281417,0.0003356082785595,0.00011219576494846,3.74005584915347e-05,7.47862321998814e-06,7.47512625414239e-06,0
"Sample10",0.982473801826316,0.0130176903501775,0.00208570038713222,0.00111691121936801,0.00109902887403748,0.00013856585408617,3.40480160918213e-05,2.28628700956994e-05,7.76889627046538e-06,2.5869873006483e-06,5.17486170882618e-07,5.17232952590143e-07,0
"Sample11",0.677392219738586,0.229519068260575,0.0454063275930957,0.0226073809366072,0.0225170763413184,0.00171375918013408,0.000421731177317473,0.000284142067449242,9.42886491816254e-05,3.1425947248275e-05,6.28943800930063e-06,6.2906704776445e-06,0
"Sample12",0.702835060939908,0.234360291502512,0.0247563004037021,0.0162389634317084,0.0175929893103209,0.00281372521760415,0.000699682696998165,0.000475411491103829,0.000155139504036402,5.17530344083913e-05,1.03403172390925e-05,1.03421504589403e-05,0
