"Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Cyanobacteria","OD1","TM7","Deinococcus.Thermus","Nitrospira","Planctomycetes","Chloroflexi","BRC1"
"Sample1",0.997256775332073,0.00133289383690095,0.00077811953084544,0.000265856132121418,0.000287892784111978,5.21425316932037e-05,1.31715919896968e-05,8.78931827039933e-06,2.97129697434922e-06,9.91405806366073e-07,1.98120726239558e-07,1.98118485390126e-07,0
"Sample2",0.283331313214703,0.446945987225601,0.0918868154861391,0.0795151905751345,0.0805576091065834,0.011932011005698,0.00291032593155145,0.00195960586537526,0.000655441154817233,0.000218370695613773,4.36586828697291e-05,4.3671055913618e-05,0
"Sample3",0.390623864903598,0.36946828561103,0.155921859499215,0.040805688075487,0.0350989378667691,0.0054282828472806,0.00132941091859486,0.000888805200115002,0.000296606359435489,9.87594531132991e-05,1.97517482075864e-05,1.97475171526557e-05,0
"Sample4",0.733331599429804,0.239620941082495,0.0162871631102819,0.00491110065189689,0.00460383570434484,0.000824545103696001,0.00021036195408902,0.000141055459756082,4.73071867965785e-05,1.5776285359813e-05,3.15701003141491e-06,3.15702144924955e-06,0
"Sample5",0.43634863089887,0.373574064888587,0.0799069637322895,0.0429770741471245,0.0543072015603962,0.00863201157255571,0.00212353536539765,0.00143384425322893,0.000475328581282814,0.000158136055416775,3.16085467094245e-05,3.16003981408664e-05,0
"Sample6",0.989728127562982,0.00655093844043188,0.00187180222246949,0.00074719833627899,0.000878262075732825,0.000149445130833224,3.71362573207547e-05,2.5017297358696e-05,8.23124953697224e-06,2.74468329743764e-06,5.48197765971292e-07,5.48545995187513e-07,0
"Sample7",0.949955174451564,0.0410736104882678,0.00359341512609067,0.00230169026017215,0.0025537431988157,0.000346369565061821,8.82185126592936e-05,5.94340561225146e-05,1.93346605231222e-05,6.43503746100844e-06,1.28714827746926e-06,1.28749498699585e-06,0
"Sample8",0.63846046005464,0.334859903190504,0.0119647478485451,0.00705679500689544,0.0063610506467925,0.000857648238514541,0.000219296814933988,0.000148249783263822,4.8954396619971e-05,1.63519661297085e-05,3.27110948673233e-06,3.27094367441387e-06,0
"Sample9",0.959557257737609,0.0202299037470428,0.009909664816727,0.00486665145557374,0.00437084788032948,0.000713669046831655,0.000175927221987417,0.000117591258021716,3.98653931941286e-05,1.33021961678616e-05,2.65959798287116e-06,2.65964853425373e-06,0
"Sample10",0.831319031082709,0.0735294529707446,0.0458846381256315,0.0237818476671775,0.0212331121831035,0.00284632902503881,0.000702545297400116,0.000473498444465585,0.000156502405152053,5.21611435567793e-05,1.04410535795538e-05,1.0440601440471e-05,0
"Sample11",0.916134967637127,0.0220852491124034,0.0251986101681013,0.0158077475970616,0.0170385421271592,0.00244308291001642,0.000646178591901331,0.000434995603147125,0.000143632775172694,4.7844742620347e-05,9.57359883607991e-06,9.575136452234e-06,0
"Sample12",0.178840571507372,0.690481759946336,0.0654101134632225,0.0310853453689566,0.0280198756563045,0.0040821227868661,0.00104056225469557,0.00069904692628414,0.000232313273396003,7.73380731253857e-05,1.54752942866418e-05,1.54754491541825e-05,0
"Sample13",0.724749003530447,0.260234321121543,0.00647861976766891,0.00353291847844672,0.00416932356816085,0.0005583745168755,0.000138475323333,9.36304091754291e-05,3.09080604711121e-05,1.03080712226029e-05,2.05903894267642e-06,2.05811371351637e-06,0
"Sample14",0.956389715148918,0.0371428959221901,0.00323548367516749,0.00128196690219696,0.00154288982505185,0.000273172314041813,6.69159340100681e-05,4.48773013559514e-05,1.50466040205912e-05,5.02560092782875e-06,1.00523519719276e-06,1.00553692523775e-06,0
"Sample15",0.980675256993864,0.0119574670255444,0.00363679979300344,0.00164510138879679,0.00169703823160377,0.000259331264226192,6.45520877140016e-05,4.32918252148754e-05,1.44261836731275e-05,4.81076186979449e-06,9.62107390359e-07,9.62337095497227e-07,0
"Sample16",0.519322401362504,0.280061574574254,0.0837589660213602,0.0542379212929053,0.0495271328227822,0.00874304681236589,0.00217331709946115,0.00146056477590817,0.000487161738735416,0.000162791229282928,3.25591516394419e-05,3.25631188018978e-05,0
"Sample17",0.9752759414912,0.014177804624122,0.00476140993868307,0.00274108353460813,0.00246340834138037,0.000386510683476508,9.70244263520164e-05,6.48126959383613e-05,2.18150951664691e-05,7.27761788640417e-06,1.45587526724643e-06,1.45567592077135e-06,0
"Sample18",0.767137014835967,0.185741594412542,0.0183940167586304,0.0133153750345971,0.0130655912926745,0.00156465555313113,0.000392031245150979,0.000262791726421699,8.65906239229493e-05,2.88046895233659e-05,5.76716474886409e-06,5.76666268951655e-06,0
"Sample19",0.865356656863635,0.131344349697512,0.00116466985272129,0.00102056407850264,0.000926540937380773,0.000124754893220094,3.12116079098751e-05,2.09507336918506e-05,7.019834119883e-06,2.34421254091468e-06,4.6858360233866e-07,4.68705163463942e-07,0
"Sample20",0.484413293951769,0.36050896180956,0.0672302104357492,0.0436171557074908,0.0373789848873636,0.00455066772871096,0.00114957466055148,0.000776328470604841,0.000255687255788153,8.50962801560437e-05,1.70197176051627e-05,1.7019094650091e-05,0
"Sample21",0.829263844129058,0.117993456295499,0.0241349982274164,0.0116719533120462,0.0138794211961116,0.00203200731131378,0.000513002908410528,0.000345551949862522,0.000113085264991575,3.76304774906945e-05,7.52478114266527e-06,7.52414665660979e-06,0
"Sample22",0.678497772143098,0.161696205103695,0.0788958917992495,0.0407036816546365,0.0329262984448147,0.00485252234754959,0.0012142620621516,0.000809215457493382,0.000275641830448044,9.17647063244318e-05,1.83768577572991e-05,1.83675927808917e-05,0
"Sample23",0.461642566413028,0.423358005375415,0.0464890787803026,0.032251920000274,0.0291468361486174,0.00479593875059823,0.00116022429150428,0.000777863248718505,0.000257300166958326,8.59137564522625e-05,1.71730479001397e-05,1.71800202306791e-05,0
"Sample24",0.924376835177554,0.0750115118158396,0.00023686468448999,0.000155682410870897,0.000176835387722262,2.81069739230196e-05,7.08889503244396e-06,4.76691764365963e-06,1.57315267600633e-06,5.24675653546789e-07,1.04973560097733e-07,1.0493503023021e-07,0
"Sample25",0.981754468469909,0.0101185520294635,0.00417850921528347,0.00157966188144752,0.00192339717361375,0.000298414952375982,7.34712320169481e-05,4.92931892226367e-05,1.65203776728993e-05,5.50786204936735e-06,1.10168020154402e-06,1.10193674722786e-06,0
"Sample26",0.962669416387345,0.0233163142720045,0.00504876345117467,0.00462235292021845,0.00357737741844814,0.000508971727198013,0.000128101443535667,8.7052597732526e-05,2.84168916622431e-05,9.45088556646373e-06,1.8908742616986e-06,1.89113085018485e-06,0
"Sample27",0.477388698191762,0.217482874065563,0.162230392541335,0.0717229219570813,0.0587847692581735,0.00829395627414604,0.00205141125711815,0.00136946310463804,0.000460528665579089,0.000153566587530742,3.07128850718538e-05,3.07052120021993e-05,0
"Sample28",0.590174547920566,0.207727305928218,0.0995836278172982,0.045905317035346,0.0464898498681233,0.00669871354166374,0.00171041385906021,0.00114599224733421,0.000384645778891397,0.000128260801512736,2.56572831882385e-05,2.56679187980312e-05,0
