"Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Cyanobacteria","OD1","TM7","Deinococcus.Thermus","Nitrospira","Planctomycetes","Chloroflexi","BRC1"
"Sample1",0.226997949358111,0.489805095599183,0.171037360282975,0.0921130148974664,0.0168738363877781,0.00165796734792693,0.000849069705250172,0.000424662846988809,0.000148334112289481,1.85377398750155e-05,3.70846778868105e-05,3.70894747168042e-05,3.70822474386218e-05
"Sample2",0.0176451577266816,0.775678403764052,0.201859281872924,0.0036430867227769,0.000945339695102045,0.000119761862677477,6.11821687471572e-05,3.05338587527844e-05,1.06159433843833e-05,1.32723862479626e-06,2.65455610669652e-06,2.65450909017791e-06,2.65463718760473e-06
"Sample3",0.599306161957697,0.330137690811848,0.054946610701976,0.0129983478520823,0.00244484923187206,8.67503366190385e-05,4.46167525315584e-05,2.23019350368912e-05,7.79704681477944e-06,9.74703776136782e-07,1.94940018061729e-06,1.94908424040818e-06,1.94958550534552e-06
"Sample4",0.714273839799248,0.0859873678655805,0.135630272500899,0.0511600654388221,0.00986617242615309,0.00160890290689525,0.000826375108704114,0.000413755517314842,0.000143536949441863,1.79412619549036e-05,3.58891233770524e-05,3.58870742621362e-05,3.5883150723461e-05
"Sample5",0.435306030753362,0.370023091066515,0.194338904351205,0.000211283992981906,0.000113882851858456,3.54925281022226e-06,1.82617920684907e-06,9.15355008165791e-07,3.1755306695474e-07,3.97432234564466e-08,7.94735699719432e-08,7.94395999111975e-08,7.94611618033343e-08
"Sample6",0.632424044112564,0.248697121064237,0.0784190799596339,0.0334622767191011,0.00598562663221098,0.000530280757413204,0.000270338346024554,0.000134767597690375,4.70504886977087e-05,5.88251000912095e-06,1.17639865182467e-05,1.17649435766959e-05,1.17668688400879e-05
"Sample7",0.234047796256681,0.697924632587546,0.0564288060921535,0.00890935908058469,0.00218400393165983,0.000264268532692412,0.00013529261756111,6.78040812539103e-05,2.34123966251576e-05,2.92558249371488e-06,5.85026157034839e-06,5.84949290916502e-06,5.84934783964432e-06
"Sample8",0.560322352114057,0.252243128357675,0.175129507797176,0.009643823990237,0.00226875630945023,0.000205507833904189,0.000104937113822808,5.22797667978516e-05,1.82853861532062e-05,2.28351703168805e-06,4.57036381727905e-06,4.56900604315739e-06,4.56880765092838e-06
"Sample9",0.979506376434982,0.0169320839045371,0.00299305049217682,0.000490450739937698,7.53317752997144e-05,1.41980118804647e-06,7.21892288053017e-07,3.61813110010139e-07,1.25063550819886e-07,1.56177213541535e-08,3.12534260911902e-08,3.12361835098088e-08,3.12290261492748e-08
"Sample10",0.418960909744099,0.434183513956735,0.141406112478857,0.00430705584281688,0.00106848756130754,3.87039519861483e-05,1.97743242848723e-05,9.86605379893218e-06,3.43090909264033e-06,4.29106156246016e-07,8.5783158267562e-07,8.58037502566625e-07,8.5803336323414e-07
"Sample11",0.621776799072076,0.203396307223997,0.122770143743899,0.0396291130271528,0.0101448939394729,0.00119871038686589,0.000608225056290349,0.000303462690692504,0.000106073324726552,1.32473185985991e-05,2.65010566014246e-05,2.65095121031286e-05,2.65147041250712e-05
"Sample12",0.401735173190432,0.351424867028748,0.175672618076784,0.0503054528876873,0.0190602298215604,0.000944089955667382,0.000481474215695344,0.000241403653210972,8.28934279506728e-05,1.03637797781965e-05,2.07149146300782e-05,2.0715689171822e-05,2.07182733136415e-05
"Sample13",0.266925431113214,0.605511547612455,0.0971284738080845,0.0201568407755907,0.00795211069315265,0.00121588229109289,0.000622995296632832,0.000312864964296848,0.000106999590573504,1.33667815035389e-05,2.67478207091017e-05,2.67433010052738e-05,2.67437723979515e-05
"Sample14",0.811235532195015,0.177948186729374,0.00782983008380169,0.00235868901059099,0.000516031108646545,5.83840009221096e-05,2.99524214913151e-05,1.49240199174234e-05,5.2105441433913e-06,6.51982303935727e-07,1.30329026116053e-06,1.30397491076188e-06,1.30392888233568e-06
"Sample15",0.705416757712261,0.0671882098750441,0.176944024269445,0.0391408700848636,0.00880195653094087,0.00131532600510499,0.000668229624047606,0.000333990236946747,0.000117328123904655,1.46599575606429e-05,2.93166115529155e-05,2.93245313182411e-05,2.93230485631098e-05
"Sample16",0.137244159858398,0.561383896151767,0.245941897247005,0.0363938881319845,0.017065210101311,0.00102995220886126,0.000527969097579296,0.000263243984544957,9.21306630589373e-05,1.15268710572933e-05,2.30545774274875e-05,2.30609023472256e-05,2.3064782084896e-05
"Sample17",0.674316271084735,0.226919486497991,0.0702707113093952,0.0209845230138714,0.00634129640040084,0.000610696441471925,0.000312661945694798,0.000156690477456685,5.3957674669371e-05,6.74210053830645e-06,1.34788711325759e-05,1.3481768684992e-05,1.34812850899865e-05
"Sample18",0.50582526112736,0.434645624407684,0.0531797030786069,0.00516540513692682,0.00110984469956805,3.87675366106263e-05,1.98785352390045e-05,9.93849100663236e-06,3.43181442707547e-06,4.29010670451621e-07,8.58057326798697e-07,8.57940240205378e-07,8.58221660784035e-07
"Sample19",0.0706110206365398,0.677338872645771,0.162594718089528,0.0682092662419323,0.0188321485111115,0.00126527402084555,0.000644499406466475,0.000322747291538903,0.000111678778390082,1.3955419716864e-05,2.7904373672015e-05,2.79092866544412e-05,2.79096715052491e-05
"Sample20",0.805353751130389,0.0452908081101095,0.112807448951741,0.024378154640134,0.00843736411905551,0.00194886849158771,0.00100036286622662,0.000498523704705783,0.000175224276327536,2.19089571387783e-05,4.38089561576524e-05,4.3793862754638e-05,4.37908898302145e-05
"Sample21",0.342911199243397,0.0736757441713685,0.4915010754099,0.0720072930183193,0.0172550342528885,0.00139035273025896,0.000707040084242549,0.000352898398472721,0.000122682733228185,1.53318058017601e-05,3.06864567235598e-05,3.06742144936632e-05,3.06739376285106e-05
"Sample22",0.899471976798695,0.0929950878184682,0.00665316009269551,0.000648388381934191,0.000204900887865319,1.3862360918755e-05,7.08959460742353e-06,3.52845615411508e-06,1.23402539906116e-06,1.54354859218441e-07,3.08515639687479e-07,3.08653093297345e-07,3.08575310415763e-07
"Sample23",0.428810746577715,0.186955419630214,0.318834158978185,0.049513423893351,0.0134207427904905,0.00128666440510245,0.000662433697013843,0.000331205298729134,0.00011397259311548,1.42518100729834e-05,2.84868833397279e-05,2.8486534715644e-05,2.84937912942174e-05
"Sample24",0.738002934974525,0.130063859831083,0.111013632375477,0.0165092061710399,0.00385324182230026,0.000290294319900135,0.000149858268221428,7.410298929647e-05,2.6375789468773e-05,3.29985146427336e-06,6.5952313717564e-06,6.59826503574845e-06,6.59534218810871e-06
"Sample25",0.533733877197929,0.163007664382876,0.163293869156332,0.117666722759713,0.0181031148451071,0.00219749599777973,0.00111890958066063,0.000562774914720512,0.000194231489478611,2.42680402682156e-05,4.85372604281822e-05,4.85396714583242e-05,4.85319636763115e-05
